证券代码,证券简称,行业名称,总市值,区间涨跌幅
000430.SZ,张家界,消费者服务,"1,870,257,709.32",-11.3244
000488.SZ,晨鸣纸业,轻工制造,"14,491,291,440.17",29.3156
000498.SZ,山东路桥,建筑,"7,395,556,214.25",3.1699
000501.SZ,鄂武商A,商贸零售,"8,943,385,461.53",-11.0306
000502.SZ,绿景控股,房地产,"1,731,759,717.59",31.4165
000503.SZ,国新健康,医药,"7,370,342,072.80",-52.1028
000504.SZ,ST生物,综合,"3,648,530,380.71",44.9257
000505.SZ,京粮控股,农林牧渔,"5,986,046,863.88",59.8182
000506.SZ,中润资源,房地产,"2,238,932,804.01",-16.3194
000507.SZ,珠海港,交通运输,"5,303,421,901.50",-6.2596
000509.SZ,*ST华塑,综合,"2,171,020,597.71",9.5833
000510.SZ,新金路,基础化工,"2,863,156,593.80",12.9808
000513.SZ,丽珠集团,医药,"33,425,164,937.25",25.2672
000514.SZ,渝开发,房地产,"3,164,141,118.75",-19.8293
000516.SZ,国际医学,医药,"23,987,670,005.34",150.9278
000517.SZ,荣安地产,房地产,"9,074,179,082.25",7.4415
000518.SZ,四环生物,医药,"5,230,145,607.76",39.9449
000519.SZ,中兵红箭,国防军工,"13,340,715,047.56",26.2985
000520.SZ,长航凤凰,交通运输,"3,582,775,430.70",-16.1137
000521.SZ,长虹美菱,家电,"5,258,603,013.90",66.2919
000523.SZ,广州浪奇,基础化工,"2,114,786,631.25",-54.3754
000524.SZ,岭南控股,消费者服务,"5,194,116,626.75",5.527
000525.SZ,红太阳,基础化工,"3,403,329,035.78",-39.7119
000526.SZ,紫光学大,消费者服务,"5,047,357,264.29",68.7138
000528.SZ,柳工,机械,"10,788,985,258.56",7.804
000529.SZ,广弘控股,传媒,"3,934,746,824.20",-0.3078
000530.SZ,冰山冷热,机械,"3,271,373,339.42",23.3762
000531.SZ,穗恒运A,电力及公用事业,"6,576,795,072.00",41.3516
000532.SZ,华金资本,电子,"3,936,569,242.80",-3.6949
000533.SZ,顺钠股份,电力设备及新能源,"2,058,631,680.00",8.3636
000534.SZ,万泽股份,房地产,"5,965,353,214.48",31.1883
000536.SZ,*ST华映,电子,"8,436,400,049.15",12.963
000537.SZ,广宇发展,房地产,"11,622,129,292.80",-16.6142
000538.SZ,云南白药,医药,"141,153,066,528.50",27.7731
000539.SZ,粤电力A,电力及公用事业,"18,919,164,280.44",-1.5307
000540.SZ,中天金融,房地产,"22,066,552,238.85",-5.4054
000541.SZ,佛山照明,家电,"7,147,557,412.02",23.4424
000543.SZ,皖能电力,电力及公用事业,"9,611,500,523.44",-6.0941
000544.SZ,中原环保,电力及公用事业,"6,715,576,122.32",14.2079
000545.SZ,金浦钛业,基础化工,"3,345,364,195.44",12.3271
000546.SZ,金圆股份,建材,"5,345,540,082.08",-25.3609
000547.SZ,航天发展,国防军工,"41,082,739,921.14",152.1025
000548.SZ,湖南投资,交通运输,"2,016,831,876.44",-3.58
000550.SZ,江铃汽车,汽车,"12,718,436,289.60",49.1139
000551.SZ,创元科技,电力设备及新能源,"3,208,644,848.10",20.0599
000552.SZ,靖远煤电,煤炭,"7,386,916,491.50",30.8587
000553.SZ,安道麦A,基础化工,"17,595,798,743.90",-21.7136
000554.SZ,泰山石油,石油石化,"2,101,066,799.66",-10.8163
000555.SZ,神州信息,计算机,"15,132,640,927.84",5.3514
000557.SZ,西部创业,交通运输,"5,541,823,993.00",10.1449
000558.SZ,莱茵体育,房地产,"3,584,042,578.22",-15.7576
000559.SZ,万向钱潮,汽车,"17,774,397,430.72",1.4205
000560.SZ,我爱我家,房地产,"9,798,883,540.16",-2.1884
000561.SZ,烽火电子,国防军工,"4,202,611,630.95",-4.7945
000563.SZ,陕国投A,非银行金融,"14,429,006,759.44",-17.1246
000564.SZ,供销大集,商贸零售,"15,732,670,583.12",10.0418
000565.SZ,渝三峡A,基础化工,"2,020,539,745.20",-13.3612
000566.SZ,海南海药,医药,"11,636,379,389.44",45.6522
000567.SZ,海德股份,综合金融,"5,526,617,542.12",-4.3285
000568.SZ,泸州老窖,食品饮料,"323,856,772,443.60",158.2881
000570.SZ,苏常柴A,机械,"2,533,209,364.74",19.6078
000571.SZ,*ST大洲,综合,"2,108,425,760.00",-5.1282
000572.SZ,ST海马,汽车,"5,032,587,463.56",61.9048
000573.SZ,粤宏远A,房地产,"1,780,802,885.16",-6.1817
000576.SZ,甘化科工,食品饮料,"4,180,610,898.56",24.0473
000581.SZ,威孚高科,汽车,"21,265,197,130.84",26.4232
000582.SZ,北部湾港,交通运输,"16,493,284,056.86",14.7831
000584.SZ,哈工智能,机械,"4,360,172,316.21",-8.439
000585.SZ,*ST东电,电力设备及新能源,"1,170,327,700.10",-13.2653
000586.SZ,汇源通信,通信,"1,408,243,200.00",-28.2759
000587.SZ,*ST金洲,商贸零售,"2,251,174,289.80",-41.7582
000589.SZ,贵州轮胎,基础化工,"4,825,415,289.20",31.0304
000590.SZ,启迪药业,医药,"2,016,348,068.14",-29.5987
000591.SZ,太阳能,电力设备及新能源,"19,305,569,365.44",81.1016
000592.SZ,平潭发展,农林牧渔,"5,428,304,306.52",-3.1034
000593.SZ,大通燃气,电力及公用事业,"2,402,827,760.30",10.9272
000595.SZ,*ST宝实,机械,"2,274,026,764.68",-37.931
000596.SZ,古井贡酒,食品饮料,"115,547,466,804.00",103.0899
000597.SZ,东北制药,医药,"6,821,047,503.80",0.87
000598.SZ,兴蓉环境,电力及公用事业,"14,333,849,289.60",5.7314
000599.SZ,青岛双星,基础化工,"3,371,262,855.30",-13.1416
000600.SZ,建投能源,电力及公用事业,"10,230,186,606.96",19.7888
000601.SZ,韶能股份,电力及公用事业,"7,218,085,148.92",24.9654
000603.SZ,盛达资源,有色金属,"10,791,120,571.44",5.2043
000605.SZ,渤海股份,电力及公用事业,"2,034,840,122.00",-15.4857
000606.SZ,顺利办,计算机,"2,772,193,657.86",-34.7748
000607.SZ,华媒控股,传媒,"3,979,200,783.10",-20.8502
000608.SZ,阳光股份,房地产,"2,302,233,858.63",-37.7282
000609.SZ,中迪投资,房地产,"1,352,680,159.44",-17.8182
