证券代码,证券简称,行业名称,总市值,区间涨跌幅
002539.SZ,云图控股,基础化工,"7,343,427,000.00",51.3028
002540.SZ,亚太科技,有色金属,"6,505,111,040.00",26.5065
002541.SZ,鸿路钢构,建筑,"18,015,928,543.20",226.808
002542.SZ,中化岩土,建筑,"5,525,060,873.94",-17.7273
002543.SZ,万和电气,家电,"6,157,008,000.00",-9.9416
002544.SZ,杰赛科技,通信,"9,435,003,199.32",20.3572
002545.SZ,东方铁塔,建筑,"9,865,412,318.19",6.0012
002546.SZ,新联电子,电力设备及新能源,"3,427,941,784.56",-0.7286
002547.SZ,春兴精工,通信,"5,346,990,976.32",-42.3358
002548.SZ,金新农,农林牧渔,"4,522,905,360.72",18.2552
002549.SZ,凯美特气,基础化工,"5,108,103,000.00",35.0633
002550.SZ,千红制药,医药,"5,413,871,250.00",-2.463
002551.SZ,尚荣医疗,医药,"5,454,574,640.20",43.9394
002552.SZ,宝鼎科技,机械,"4,072,890,095.40",-47.2432
002553.SZ,南方轴承,汽车,"3,170,280,000.00",72.1466
002554.SZ,惠博普,机械,"2,751,981,700.00",-15.1303
002555.SZ,三七互娱,传媒,"61,466,524,382.70",9.7311
002556.SZ,辉隆股份,基础化工,"7,177,869,113.10",41.7187
002557.SZ,洽洽食品,食品饮料,"26,810,160,000.00",57.6846
002558.SZ,巨人网络,传媒,"34,373,971,245.36",-5.3037
002559.SZ,亚威股份,机械,"2,917,228,582.88",-7.0699
002560.SZ,通达股份,电力设备及新能源,"4,331,666,624.50",46.3485
002561.SZ,徐家汇,商贸零售,"3,097,434,350.00",-4.4389
002562.SZ,兄弟科技,基础化工,"4,851,806,172.16",4.918
002563.SZ,森马服饰,纺织服装,"23,954,623,886.40",-4.3995
002564.SZ,天沃科技,机械,"3,860,026,252.08",-2.8446
002565.SZ,顺灏股份,轻工制造,"4,442,057,503.18",-34.5312
002566.SZ,益盛药业,医药,"2,128,018,788.00",-2.9037
002567.SZ,唐人神,农林牧渔,"7,871,783,759.28",-7.9721
002568.SZ,百润股份,食品饮料,"53,960,339,298.20",287.1756
002569.SZ,ST步森,纺织服装,"1,609,383,600.00",14.1104
002570.SZ,贝因美,食品饮料,"6,237,372,000.00",13.806
002571.SZ,德力股份,轻工制造,"4,033,172,703.00",101.3699
002572.SZ,索菲亚,轻工制造,"22,270,952,627.58",19.9424
002573.SZ,清新环境,电力及公用事业,"5,784,805,735.00",-14.8205
002574.SZ,明牌珠宝,商贸零售,"2,423,520,000.00",-9.6064
002575.SZ,*ST群兴,轻工制造,"2,221,204,800.00",-48.9331
002576.SZ,通达动力,电力设备及新能源,"1,915,160,000.00",18.6184
002577.SZ,雷柏科技,计算机,"3,188,057,600.00",-12.2957
002578.SZ,闽发铝业,有色金属,"3,418,802,804.16",-2.809
002579.SZ,中京电子,电子,"6,273,881,572.62",-8.6605
002580.SZ,圣阳股份,电力设备及新能源,"2,087,797,370.10",11.1434
002581.SZ,未名医药,医药,"11,657,527,804.62",144.0608
002582.SZ,好想你,食品饮料,"6,631,698,297.60",54.3834
002583.SZ,海能达,通信,"11,331,775,784.56",-26.7539
002584.SZ,西陇科学,基础化工,"3,359,142,262.28",12.9921
002585.SZ,双星新材,基础化工,"11,458,715,822.35",117.1643
002586.SZ,*ST围海,建筑,"2,334,216,376.56",-34.6154
002587.SZ,奥拓电子,电子,"3,167,638,511.76",-33.1793
002588.SZ,史丹利,基础化工,"5,900,108,400.00",31.0574
002589.SZ,瑞康医药,医药,"7,839,541,553.91",-32.2497
002590.SZ,万安科技,汽车,"3,554,183,721.66",8.9146
002591.SZ,恒大高新,基础化工,"1,674,641,562.00",-39.9563
002592.SZ,ST八菱,汽车,"949,159,375.95",-75.6894
002593.SZ,日上集团,机械,"2,601,118,100.00",-2.9997
002594.SZ,比亚迪,汽车,"472,510,261,778.00",274.9304
002595.SZ,豪迈科技,机械,"21,656,000,000.00",45.1469
002596.SZ,海南瑞泽,建材,"5,978,894,498.78",-19.8462
002597.SZ,金禾实业,基础化工,"18,053,092,623.99",46.2831
002598.SZ,山东章鼓,机械,"1,934,400,000.00",2.699
002599.SZ,盛通股份,传媒,"2,142,366,437.55",-16.9851
002600.SZ,领益智造,电子,"88,257,545,575.57",17.5333
002601.SZ,龙蟒佰利,基础化工,"64,313,461,136.85",117.7412
002602.SZ,世纪华通,传媒,"52,167,898,776.00",-26.6805
002603.SZ,以岭药业,医药,"30,598,497,909.46",105.9845
002605.SZ,姚记科技,轻工制造,"9,817,371,305.94",26.9782
002606.SZ,大连电瓷,电力设备及新能源,"3,432,651,600.00",45.1257
002607.SZ,中公教育,消费者服务,"211,726,821,024.37",93.6231
002608.SZ,江苏国信,非银行金融,"26,711,023,507.28",-8.3009
002609.SZ,捷顺科技,计算机,"5,934,825,830.61",7.5223
002610.SZ,爱康科技,电力设备及新能源,"13,912,704,668.80",92.5466
002611.SZ,东方精工,机械,"6,860,363,689.08",4.4706
002612.SZ,朗姿股份,纺织服装,"11,008,040,930.00",159.7827
002613.SZ,北玻股份,建材,"4,029,831,000.00",56.3636
002614.SZ,奥佳华,家电,"8,141,740,220.04",27.2986
002615.SZ,哈尔斯,家电,"1,937,045,893.58",-13.6954
002616.SZ,长青集团,家电,"5,608,636,568.64",-5.6856
002617.SZ,露笑科技,电力设备及新能源,"12,538,548,002.20",53.1365
002618.SZ,丹邦科技,电子,"2,772,475,200.00",-58.9619
002619.SZ,艾格拉斯,传媒,"3,357,711,140.42",-42.2222
002620.SZ,瑞和股份,建筑,"2,160,047,320.00",-5.6058
002621.SZ,美吉姆,消费者服务,"4,579,712,283.18",-29.2154
002622.SZ,融钰集团,电力设备及新能源,"2,461,200,000.00",-14.5773
002623.SZ,亚玛顿,电力设备及新能源,"6,424,000,000.00",80.0448
002624.SZ,完美世界,传媒,"55,210,849,669.96",-2.9343
002625.SZ,光启技术,国防军工,"43,544,220,691.02",120.8743
002626.SZ,金达威,食品饮料,"20,917,231,783.11",78.6306
002627.SZ,宜昌交运,交通运输,"2,946,914,406.36",-11.4344
002628.SZ,成都路桥,建筑,"2,827,822,157.65",-20.8694
002629.SZ,ST仁智,机械,"914,524,560.00",-14.6154
002630.SZ,华西能源,电力设备及新能源,"3,152,736,000.00",11.7155
002631.SZ,德尔未来,轻工制造,"5,018,463,586.50",-5.5851
002632.SZ,道明光学,基础化工,"4,528,343,402.50",0.0869
002633.SZ,申科股份,机械,"1,069,500,000.00",-15.9198
002634.SZ,棒杰股份,纺织服装,"2,958,230,183.72",-8.5227
002635.SZ,安洁科技,电子,"10,502,386,444.80",-0.6599
002636.SZ,金安国纪,电子,"6,784,960,000.00",8.7515
002637.SZ,赞宇科技,基础化工,"5,231,292,800.00",18.3984
002638.SZ,*ST勤上,消费者服务,"2,505,831,197.10",-55.2846
002639.SZ,雪人股份,电力设备及新能源,"4,462,361,717.54",-22.3005
002640.SZ,跨境通,商贸零售,"7,992,752,022.90",-33.5492
002641.SZ,永高股份,建材,"7,795,272,194.46",37.6101
002642.SZ,荣联科技,计算机,"2,975,156,589.72",-28.6174
002643.SZ,万润股份,基础化工,"18,146,298,971.40",33.0265
002644.SZ,佛慈制药,医药,"3,600,131,850.00",-3.4854
002645.SZ,华宏科技,机械,"4,899,438,253.74",2.4016
002646.SZ,青青稞酒,食品饮料,"9,220,500,000.00",91.8096
002647.SZ,仁东控股,非银行金融,"6,019,318,987.50",-35.7826
002648.SZ,卫星石化,基础化工,"32,599,239,538.60",64.8412
002649.SZ,博彦科技,计算机,"4,669,803,051.00",-10.3053
002650.SZ,ST加加,食品饮料,"7,430,400,000.00",81.0684
002651.SZ,利君股份,机械,"11,295,717,800.00",127.7498
002652.SZ,扬子新材,建材,"1,664,208,000.00",-16.8798
002653.SZ,海思科,医药,"18,749,669,369.00",-13.9916
002654.SZ,万润科技,电子,"3,375,591,689.34",-29.8182
002655.SZ,共达电声,电子,"2,610,000,000.00",-45.8551
002656.SZ,ST摩登,纺织服装,"1,047,404,170.68",-62.5954
002657.SZ,中科金财,计算机,"3,787,610,416.92",-39.4822
002658.SZ,雪迪龙,电力及公用事业,"3,671,743,455.25",-14.7464
002659.SZ,凯文教育,消费者服务,"2,967,470,704.64",-20.5128
002660.SZ,茂硕电源,电子,"2,112,323,343.90",-12.2007
002661.SZ,克明面业,食品饮料,"5,791,355,785.00",53.8485
002662.SZ,京威股份,汽车,"5,325,000,000.00",34.4697
002663.SZ,普邦股份,建筑,"3,448,109,667.84",-34.2466
002664.SZ,长鹰信质,机械,"5,964,298,200.00",-8.2967
002665.SZ,首航高科,电力设备及新能源,"5,483,636,791.92",-35.7143
002666.SZ,德联集团,基础化工,"3,847,079,266.80",8.4265
002667.SZ,鞍重股份,机械,"1,599,433,440.00",-1.1332
002668.SZ,奥马电器,家电,"4,368,969,054.84",-28.6726
002669.SZ,康达新材,基础化工,"4,103,009,966.25",23.2247
002670.SZ,国盛金控,非银行金融,"21,982,561,658.08",-10.6216
002671.SZ,龙泉股份,建材,"2,398,115,456.64",-6.8282
002672.SZ,东江环保,电力及公用事业,"6,905,622,710.83",-0.3963
002673.SZ,西部证券,非银行金融,"34,037,882,564.40",-0.0697
002674.SZ,兴业科技,纺织服装,"3,598,670,099.52",18.7993
002675.SZ,东诚药业,医药,"16,180,662,955.42",26.88
002676.SZ,顺威股份,家电,"2,354,400,000.00",4.1401
002677.SZ,浙江美大,家电,"9,955,655,880.27",21.0902
002678.SZ,珠江钢琴,轻工制造,"10,282,484,845.11",-8.7497
002679.SZ,福建金森,农林牧渔,"3,010,604,120.00",-20.6408
002681.SZ,*ST奋达,电子,"7,809,577,413.60",-23.2975
002682.SZ,龙洲股份,综合,"2,204,484,888.48",-9.9522
002683.SZ,宏大爆破,基础化工,"26,703,327,033.60",89.9237
002684.SZ,ST猛狮,汽车,"1,588,648,289.20",-50.9632
002685.SZ,华东重机,机械,"4,181,916,160.15",-38.2683
002686.SZ,亿利达,机械,"4,456,301,976.71",24.9206
002687.SZ,乔治白,纺织服装,"2,198,000,000.00",2.1138
002688.SZ,金河生物,医药,"3,436,917,033.55",-10.9957
002689.SZ,远大智能,机械,"3,369,893,641.75",-10.7735
002690.SZ,美亚光电,机械,"29,068,000,000.00",11.9965
002691.SZ,冀凯股份,机械,"1,577,600,000.00",-22.5243
002692.SZ,ST远程,电力设备及新能源,"1,924,631,280.00",-26.1708
002693.SZ,双成药业,医药,"1,737,450,000.00",-7.9399
002694.SZ,顾地科技,基础化工,"1,510,907,904.00",-22.1538
002695.SZ,煌上煌,食品饮料,"11,424,870,475.84",36.4599
002696.SZ,百洋股份,食品饮料,"2,106,803,067.30",0.5
002697.SZ,红旗连锁,商贸零售,"8,962,400,000.00",-11.9692
002698.SZ,博实股份,机械,"12,659,169,000.00",19.4503
002699.SZ,美盛文化,传媒,"5,248,234,623.25",-14.5185
002700.SZ,ST浩源,电力及公用事业,"1,600,997,875.20",-46.2163
002701.SZ,奥瑞金,轻工制造,"11,907,512,154.31",15.8464
002702.SZ,海欣食品,食品饮料,"4,172,996,800.00",103.0033
002703.SZ,浙江世宝,汽车,"3,334,756,318.20",17.1739
002705.SZ,新宝股份,家电,"33,637,816,983.45",157.5806
002706.SZ,良信股份,电力设备及新能源,"23,298,838,412.55",260.417
002707.SZ,众信旅游,消费者服务,"4,522,283,008.60",-20.0321
002708.SZ,光洋股份,汽车,"2,827,232,288.28",-25.6473
002709.SZ,天赐材料,基础化工,"54,612,944,900.00",383.8146
002711.SZ,*ST欧浦,交通运输,"813,174,208.00",-38.8889
002712.SZ,思美传媒,传媒,"2,795,583,967.28",-42.6698
002713.SZ,东易日盛,建筑,"3,331,123,621.20",11.6737
002714.SZ,牧原股份,农林牧渔,"286,521,920,538.15",47.036
002715.SZ,登云股份,汽车,"2,350,140,000.00",40.3315
002716.SZ,*ST金贵,有色金属,"5,747,245,628.80",-9.4077
002717.SZ,岭南股份,建筑,"5,564,694,025.80",-22.1887
002718.SZ,友邦吊顶,建材,"1,946,742,347.49",-10.5947
002719.SZ,*ST麦趣,食品饮料,"1,337,391,029.76",-34.5826
002721.SZ,金一文化,商贸零售,"3,004,567,995.01",-45.0877
002722.SZ,金轮股份,机械,"2,047,806,705.51",-24.1674
002723.SZ,金莱特,家电,"2,526,483,200.00",38.4485
002724.SZ,海洋王,电子,"5,825,328,053.22",6.4011
002725.SZ,跃岭股份,汽车,"2,068,480,000.00",-16.271
002726.SZ,龙大肉食,食品饮料,"12,479,110,407.40",80.0655
002727.SZ,一心堂,医药,"19,436,953,941.25",41.9499
002728.SZ,特一药业,医药,"2,415,753,638.99",-27.01
002729.SZ,好利来,电力设备及新能源,"2,893,245,200.00",-13.4803
002730.SZ,电光科技,电力设备及新能源,"2,884,705,560.00",11.8823
002731.SZ,萃华珠宝,商贸零售,"1,759,791,720.00",-11.2432
002732.SZ,燕塘乳业,食品饮料,"3,469,567,500.00",2.1728
002733.SZ,雄韬股份,电力设备及新能源,"7,829,075,315.77",-23.5863
002734.SZ,利民股份,基础化工,"4,619,308,028.40",18.6829
002735.SZ,王子新材,轻工制造,"5,511,080,878.80",97.9178
002736.SZ,国信证券,非银行金融,"126,884,067,776.40",7.1865
002737.SZ,葵花药业,医药,"8,684,080,000.00",7.9414
002738.SZ,中矿资源,有色金属,"7,211,822,487.48",53.1187
002739.SZ,万达电影,传媒,"38,323,857,561.60",-5.3444
002740.SZ,爱迪尔,商贸零售,"2,293,008,438.85",-19.586
002741.SZ,光华科技,基础化工,"4,438,694,720.90",-4.8154
002742.SZ,三圣股份,建材,"2,877,120,000.00",10.5988
002743.SZ,富煌钢构,机械,"2,864,066,585.24",1.9357
002745.SZ,木林森,电子,"20,689,279,602.06",3.6157
002746.SZ,仙坛股份,农林牧渔,"6,677,780,525.40",-23.1996
002747.SZ,埃斯顿,机械,"24,157,598,510.00",155.3286
002748.SZ,世龙实业,基础化工,"1,507,200,000.00",-14.4605
002749.SZ,国光股份,基础化工,"4,640,628,972.90",2.8315
002750.SZ,龙津药业,医药,"3,324,150,000.00",-35.5089
002751.SZ,易尚展示,轻工制造,"2,806,639,132.08",-27.6647
002752.SZ,昇兴股份,轻工制造,"5,257,369,074.89",3.1351
002753.SZ,永东股份,基础化工,"3,071,086,635.52",4.9628
002755.SZ,奥赛康,医药,"11,973,268,527.90",-19.1938
002756.SZ,永兴材料,钢铁,"17,226,319,278.45",156.6958
002757.SZ,南兴股份,机械,"4,491,114,588.00",37.228
002758.SZ,华通医药,医药,"5,724,063,838.86",10.9185
002759.SZ,天际股份,家电,"6,703,883,291.89",84.2612
002760.SZ,凤形股份,机械,"1,466,080,000.00",-7.5472
002761.SZ,多喜爱,纺织服装,"8,802,108,397.72",-23.87
002762.SZ,金发拉比,纺织服装,"2,141,851,250.00",10.1925
002763.SZ,汇洁股份,纺织服装,"2,994,154,800.00",-7.7099
002765.SZ,蓝黛科技,汽车,"3,209,478,118.20",8.7719
002766.SZ,ST索菱,计算机,"1,800,889,639.78",35.9873
002767.SZ,先锋电子,机械,"1,614,000,000.00",-27.3898
002768.SZ,国恩股份,基础化工,"8,631,175,000.00",37.0374
002769.SZ,普路通,交通运输,"2,329,504,656.96",-25.5976
002770.SZ,ST科迪,食品饮料,"1,959,813,356.63",-25.4167
002771.SZ,真视通,计算机,"2,168,960,794.00",-8.0487
002772.SZ,众兴菌业,农林牧渔,"3,776,424,905.89",50.0362
002773.SZ,康弘药业,医药,"44,336,009,847.25",31.0217
002774.SZ,快意电梯,机械,"2,110,389,398.00",-18.2088
002775.SZ,文科园林,建筑,"2,466,377,043.00",-6.4372
002776.SZ,柏堡龙,纺织服装,"2,743,744,440.60",-33.4992
002777.SZ,久远银海,计算机,"6,971,330,047.20",-14.1759
002778.SZ,高科石化,石油石化,"2,122,588,290.00",13.2567
002779.SZ,中坚科技,机械,"1,644,720,000.00",-24.892
002780.SZ,三夫户外,纺织服装,"2,780,902,140.59",3.4613
002781.SZ,奇信股份,建筑,"3,386,250,000.00",-7.1934
002782.SZ,可立克,电子,"6,047,614,758.36",20.5808
002783.SZ,凯龙股份,基础化工,"3,780,992,445.23",-14.2054
002785.SZ,万里石,建材,"3,158,000,000.00",10.1884
002786.SZ,银宝山新,机械,"2,588,619,600.00",-18.4874
002787.SZ,华源控股,机械,"1,974,841,856.25",-13.029
002788.SZ,鹭燕医药,医药,"3,061,511,879.68",5.62
002789.SZ,建艺集团,建筑,"2,418,460,800.00",6.2301
002790.SZ,瑞尔特,家电,"2,402,035,020.00",-8.4439
002791.SZ,坚朗五金,建材,"46,681,177,200.00",377.0136
002792.SZ,通宇通讯,通信,"6,033,825,972.00",-33.1055
002793.SZ,罗欣药业,医药,"15,391,165,074.00",-21.9951
002795.SZ,永和智控,机械,"1,926,000,000.00",-30.8686
002796.SZ,世嘉科技,机械,"3,392,618,181.12",-43.926
002797.SZ,第一创业,非银行金融,"39,250,416,000.00",13.1261
002798.SZ,帝欧家居,建材,"7,658,338,155.16",-21.172
002799.SZ,环球印务,轻工制造,"3,744,000,000.00",38.6337
002800.SZ,天顺股份,交通运输,"1,495,093,600.00",-27.284
002801.SZ,微光股份,电力设备及新能源,"5,506,575,360.00",26.7317
002802.SZ,洪汇新材,基础化工,"2,494,136,430.00",17.5588
002803.SZ,吉宏股份,轻工制造,"11,844,210,714.40",101.375
002805.SZ,丰元股份,基础化工,"1,806,957,801.00",5.1607
002806.SZ,华锋股份,有色金属,"1,861,192,136.98",-23.2908
002807.SZ,江阴银行,银行,"8,905,204,104.10",-8.018
002808.SZ,恒久科技,电子,"2,174,592,000.00",-15.6341
002809.SZ,红墙股份,基础化工,"2,204,567,363.10",-3.6365
002810.SZ,山东赫达,基础化工,"6,526,901,452.50",69.5267
002811.SZ,郑中设计,建筑,"2,311,361,064.96",-17.968
002812.SZ,恩捷股份,基础化工,"119,628,896,966.80",170.6096
002813.SZ,路畅科技,通信,"2,406,000,000.00",-17.2855
002815.SZ,崇达技术,电子,"12,602,767,975.56",-16.137
002816.SZ,和科达,机械,"2,179,000,000.00",0.8796
002817.SZ,黄山胶囊,医药,"1,986,129,720.00",1.67
002818.SZ,富森美,商贸零售,"10,644,627,921.60",13.3395
002819.SZ,东方中科,机械,"5,128,335,096.96",27.059
002820.SZ,桂发祥,食品饮料,"2,103,296,000.00",-11.7788
002821.SZ,凯莱英,医药,"71,049,529,608.21",126.7115
002822.SZ,中装建设,建筑,"4,444,106,349.76",-37.4537
002823.SZ,凯中精密,电力设备及新能源,"2,870,763,850.00",7.9968
002824.SZ,和胜股份,有色金属,"2,855,836,186.80",43.325
002825.SZ,纳尔股份,轻工制造,"2,061,582,847.32",5.6891
002826.SZ,易明医药,医药,"1,852,488,540.00",-4.143
002827.SZ,高争民爆,基础化工,"2,851,080,000.00",7.2558
002828.SZ,贝肯能源,石油石化,"1,684,276,088.00",-23.5569
002829.SZ,星网宇达,国防军工,"6,431,992,131.60",88.4138
002830.SZ,名雕股份,建筑,"1,392,069,600.00",-25.3249
002831.SZ,裕同科技,轻工制造,"25,260,440,140.80",9.6024
002832.SZ,比音勒芬,纺织服装,"8,175,487,476.00",4.4907
002833.SZ,弘亚数控,机械,"8,655,550,771.20",63.308
002835.SZ,同为股份,计算机,"2,713,022,349.05",1.3273
002836.SZ,新宏泽,轻工制造,"1,536,000,000.00",-19.9039
002837.SZ,英维克,机械,"5,739,026,009.60",56.6001
002838.SZ,道恩股份,基础化工,"10,867,634,250.00",152.9545
002839.SZ,张家港行,银行,"10,739,268,387.54",2.7174
002840.SZ,华统股份,食品饮料,"4,489,697,604.00",-1.12
002841.SZ,视源股份,消费者服务,"72,961,620,710.19",28.4802
002842.SZ,翔鹭钨业,有色金属,"2,714,525,128.32",-22.217
002843.SZ,泰嘉股份,机械,"1,623,300,000.00",-2.1922
002845.SZ,同兴达,电子,"5,996,103,039.36",30.2718
002846.SZ,英联股份,轻工制造,"2,578,128,600.96",-30.5044
002847.SZ,盐津铺子,食品饮料,"14,475,510,000.00",212.5609
002848.SZ,高斯贝尔,通信,"1,870,408,500.00",-12.2353
002849.SZ,威星智能,机械,"1,590,713,090.50",-14.9994
002850.SZ,科达利,电力设备及新能源,"21,249,332,744.73",101.2674
002851.SZ,麦格米特,电力设备及新能源,"16,818,921,464.34",62.7592
002852.SZ,道道全,农林牧渔,"4,803,180,000.00",24.0306
002853.SZ,皮阿诺,轻工制造,"3,760,817,715.00",34.1779
002855.SZ,捷荣技术,电子,"2,572,183,810.50",-21.6866
002856.SZ,美芝股份,建筑,"1,920,088,745.52",-24.1582
002857.SZ,三晖电气,机械,"1,478,400,000.00",-4.2275
002858.SZ,力盛赛车,传媒,"1,301,096,000.00",-31.5615
002859.SZ,洁美科技,电子,"10,381,956,049.96",16.9053
002860.SZ,星帅尔,家电,"2,902,617,834.48",8.0425
002861.SZ,瀛通通讯,电子,"2,464,103,012.00",-36.7124
002862.SZ,实丰文化,轻工制造,"1,255,200,000.00",-29.3121
002863.SZ,今飞凯达,汽车,"2,878,037,739.13",3.8596
002864.SZ,盘龙药业,医药,"2,155,482,900.00",-9.0186
002865.SZ,钧达股份,汽车,"2,147,332,997.75",9.467
002866.SZ,传艺科技,计算机,"4,975,127,298.68",24.198
002867.SZ,周大生,商贸零售,"18,650,414,137.52",36.9888
002868.SZ,绿康生化,农林牧渔,"1,902,289,844.88",-10.8091
002869.SZ,金溢科技,计算机,"5,731,583,357.81",-24.8443
002870.SZ,香山股份,机械,"2,853,072,600.00",10.9065
002871.SZ,伟隆股份,机械,"1,981,939,560.00",-8.9912
002872.SZ,ST天圣,医药,"1,478,700,000.00",-13.4078
002873.SZ,新天药业,医药,"1,961,038,821.42",-0.2178
002875.SZ,安奈儿,纺织服装,"1,531,676,877.74",-25.5184
002876.SZ,三利谱,电子,"5,778,240,000.00",-5.0212
002877.SZ,智能自控,机械,"2,380,792,750.64",-15.9892
002878.SZ,元隆雅图,传媒,"4,437,210,887.56",15.8286
002879.SZ,长缆科技,电力设备及新能源,"2,894,683,523.60",-6.4395
002880.SZ,卫光生物,医药,"7,657,740,000.00",36.2977
002881.SZ,美格智能,电子,"3,663,099,150.00",-25.4783
002882.SZ,金龙羽,电力设备及新能源,"3,904,758,000.00",-12.6609
002883.SZ,中设股份,建筑,"1,632,130,885.56",-4.6409
002884.SZ,凌霄泵业,机械,"5,829,232,545.62",81.8977
002885.SZ,京泉华,电力设备及新能源,"2,779,200,000.00",-7.4614
002886.SZ,沃特股份,基础化工,"3,122,716,356.21",-2.1014
002887.SZ,绿茵生态,建筑,"3,563,040,000.00",12.8675
002888.SZ,惠威科技,电子,"2,053,420,308.00",-23.4616
002889.SZ,东方嘉盛,交通运输,"3,199,810,109.93",-10.1774
002890.SZ,弘宇股份,机械,"1,459,406,300.00",-14.2941
002891.SZ,中宠股份,农林牧渔,"10,852,758,556.20",101.7924
002892.SZ,科力尔,电力设备及新能源,"3,101,058,400.00",-24.1407
002893.SZ,华通热力,电力及公用事业,"1,822,959,574.80",-5.2438
002895.SZ,川恒股份,基础化工,"5,304,273,780.00",-9.9448
002896.SZ,中大力德,机械,"2,117,600,000.00",20.9142
002897.SZ,意华股份,通信,"4,618,384,320.00",1.0018
002898.SZ,赛隆药业,医药,"1,615,680,000.00",-27.1108
002899.SZ,英派斯,轻工制造,"1,520,400,000.00",-9.3705
002900.SZ,哈三联,医药,"2,903,222,458.50",-21.3594
002901.SZ,大博医疗,医药,"29,335,056,894.00",24.0852
002902.SZ,铭普光磁,电子,"2,717,400,000.00",-44.0687
002903.SZ,宇环数控,机械,"1,906,518,900.00",-14.2271
002905.SZ,金逸影视,传媒,"3,353,011,200.00",-24.2946
002906.SZ,华阳集团,汽车,"12,196,518,000.00",118.7256
002907.SZ,华森制药,医药,"5,406,895,204.26",-19.0237
002908.SZ,德生科技,通信,"2,742,855,164.88",7.6017
002909.SZ,集泰股份,基础化工,"2,258,534,787.18",20.7371
002910.SZ,庄园牧场,食品饮料,"2,029,951,348.99",-17.7538
002911.SZ,佛燃能源,电力及公用事业,"9,507,600,000.00",14.1876
002912.SZ,中新赛克,计算机,"9,944,849,280.00",-27.3196
002913.SZ,奥士康,电子,"8,749,358,553.84",0.8275
002915.SZ,中欣氟材,基础化工,"3,315,332,393.75",-9.0317
002916.SZ,深南电路,电子,"52,347,968,173.80",5.8734
002917.SZ,金奥博,基础化工,"2,499,078,240.00",-15.1719
002918.SZ,蒙娜丽莎,建材,"13,393,438,542.00",66.6746
002919.SZ,名臣健康,基础化工,"4,519,022,565.00",145.408
002920.SZ,德赛西威,汽车,"42,218,000,000.00",154.092
002921.SZ,联诚精密,汽车,"1,568,352,000.00",6.4087
002922.SZ,伊戈尔,电子,"2,364,980,616.00",-8.1696
002923.SZ,润都股份,医药,"3,019,202,760.00",-4.6003
002925.SZ,盈趣科技,电子,"28,210,655,092.62",42.697
002926.SZ,华西证券,非银行金融,"30,528,750,000.00",6.3155
002927.SZ,泰永长征,电力设备及新能源,"2,755,536,784.00",-19.1622
002928.SZ,华夏航空,交通运输,"11,686,434,935.32",42.6379
002929.SZ,润建股份,通信,"5,291,289,937.59",-13.1142
002930.SZ,宏川智慧,交通运输,"8,742,251,626.24",73.8368
002931.SZ,锋龙股份,机械,"2,551,211,520.00",-2.4731
002932.SZ,明德生物,医药,"4,359,745,187.46",74.8486
002933.SZ,新兴装备,国防军工,"3,913,622,500.00",-13.4348
002935.SZ,天奥电子,国防军工,"5,697,298,035.00",25.3104
002936.SZ,郑州银行,银行,"27,133,511,042.34",1.3745
002937.SZ,兴瑞科技,电子,"3,609,344,000.00",-18.2838
002938.SZ,鹏鼎控股,电子,"114,646,968,473.60",11.6454
002939.SZ,长城证券,非银行金融,"38,047,749,603.26",-10.8826
002940.SZ,昂利康,医药,"3,839,791,696.38",36.2401
002941.SZ,新疆交建,建筑,"7,088,550,000.00",-37.1471
002942.SZ,新农股份,基础化工,"3,369,600,000.00",0.8458
002943.SZ,宇晶股份,机械,"1,804,000,000.00",-25.5742
002945.SZ,华林证券,非银行金融,"38,259,000,000.00",-4.8318
002946.SZ,新乳业,食品饮料,"15,213,124,068.12",42.2573
002947.SZ,恒铭达,电子,"5,055,848,439.20",-37.6054
002948.SZ,青岛银行,银行,"22,027,969,369.41",-2.6077
002949.SZ,华阳国际,建筑,"3,683,403,700.00",-12.4405
002950.SZ,奥美医疗,医药,"12,791,961,221.40",47.8057
002951.SZ,金时科技,轻工制造,"5,179,950,000.00",-24.7576
002952.SZ,亚世光电,电子,"2,481,534,000.00",-27.4594
002953.SZ,日丰股份,电力设备及新能源,"3,267,188,815.12",-5.6444
002955.SZ,鸿合科技,电子,"5,095,593,419.05",-38.4329
002956.SZ,西麦食品,食品饮料,"4,592,000,000.00",6.5637
002957.SZ,科瑞技术,机械,"8,306,760,358.00",-38.0148
002958.SZ,青农商行,银行,"28,055,555,557.80",-19.2986
002959.SZ,小熊电器,家电,"17,277,000,000.00",109.0666
002960.SZ,青鸟消防,机械,"8,900,491,500.00",35.3039
002961.SZ,瑞达期货,非银行金融,"10,564,300,000.00",-34.8919
002962.SZ,五方光电,电子,"4,296,914,440.00",-41.154
002963.SZ,豪尔赛,建筑,"2,692,946,346.30",-47.4391
002965.SZ,祥鑫科技,机械,"5,134,349,000.00",-7.0368
002966.SZ,苏州银行,银行,"24,966,666,671.66",-24.6684
002967.SZ,广电计量,机械,"18,041,355,200.00",72.4569
002968.SZ,新大正,房地产,"5,238,870,000.00",6.7635
002969.SZ,嘉美包装,轻工制造,"5,473,901,149.50",-52.0575
002970.SZ,锐明技术,计算机,"8,740,224,000.00",-16.9026
002971.SZ,和远气体,基础化工,"2,828,800,000.00",13.4788
002972.SZ,科安达,机械,"3,156,128,000.00",-10.0806
